meeting_id,venue,wg,topic
RAN1_119,"Orlando, United States",RAN WG1,AI/ML for NR Air Interface
RAN1_116,"Athens, Greece",RAN WG1,CSI feedback enhancement for NR
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Ambient IoT Frame Structure and Timing
RAN1_119,"Orlando, Florida, USA",RAN WG1,CLI handling for Rel-19 NR duplex
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,SRS Power Allocation Mechanisms
RAN1_119,"Orlando, US",RAN WG1,LP-WUS standardization for Rel-19
RAN1_116b,"Changsha, China",RAN WG1,Rel-18 NR NTN Maintenance
RAN1_116b,"Changsha, China",RAN WG1,Rel-18 NR Positioning Enhancements
RAN1_116b,"Changsha, China",RAN WG1,Introduction of FR2-NTN support
RAN1_119,"Orlando, USA",RAN WG1,Enhancements to enable Tx/Rx for XR during RRM measurements
RAN1_119,"Orlando, US",RAN WG1,A-IoT Physical Layer Standardization
RAN1_119,"Orlando, USA",RAN WG1,Adaptation of common channel transmissions
RAN1_119,"Orlando, US",RAN WG1,CSI Compression with AI/ML
RAN1_119,"Orlando, US",RAN WG1,9.4.2.2 - Study of frame structure and timing aspects for Ambient IoT
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,AI/ML for Air Interface
RAN1_118b,"Hefei, CN",RAN WG1,Inventory completion time analysis for A-IoT devices
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Network energy savings enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 NR UE Feature Discussions
RAN1_116b,"Changsha, China",RAN WG1,R18 NES Spatial/Power Domain Adaptation Corrections
RAN1_116b,"Changsha, China",RAN WG1,SBFD random access operation
RAN1_118,"Fukuoka, Japan",RAN WG2,NR Positioning Enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Waveform characteristics for Ambient IoT carrier-wave deployment
RAN1_116b,Unknown,RAN WG1,Physical Layer Specifications
RAN1_117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,NR Physical Layer Enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,9.2.1 - MIMO Enhancements
RAN1_117,"Fukuoka City, Japan",RAN WG1,Physical Layer Specifications
RAN1_116,"Athens, Greece",RAN WG1,Rel-18 Work Item Features
RAN1_119,"Orlando, USA",RAN WG1,Channel model validation
RAN1_119,"Orlando, US",RAN WG1,CLI Handling
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Rel-19 MIMO Enhancements
RAN1_117,"Fukuoka City, Japan",RAN1,AI/ML Positioning Enhancements
RAN1_116b,"Changsha, China",RAN WG1,On-demand SSB SCell operation
RAN1_119,"Orlando, US",RAN WG1,Physical Layer Specifications
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,UL capacity enhancement for NR NTN
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Ambient IoT Physical Layer Design
RAN1_116,"Athens, Greece",RAN WG1,Rel-18 Coverage Enhancements
RAN1_118b,,RAN WG1,On-Demand SSB Operation on SCell
RAN1_118b,"Hefei, China",RAN WG1,Rel-19 Network Energy Saving Enhancements
RAN1_118,"Maastricht, The Netherlands",RAN WG1,NR NTN Enhancements for Release 19
RAN1_118b,"Hefei, China",RAN WG1,NR FeMIMO-Core enhancements
RAN1_116,"Chicago, USA",RAN WG4,SL-U measurement requirements
RAN1_119,"Hefei, China",RAN2,NR Mobility Enhancements
RAN1_116b,"Changsha, China",RAN WG1,NR MIMO Enhancements
RAN1_116,"Athens, Greece",RAN WG1,Agenda Item 9.4.2.3: Downlink and Uplink Channel/Signal Aspects for Ambient IoT
RAN1_119,"Orlando, US",RAN WG1,NR Sidelink Positioning Enhancements
RAN1_119,"Orlando, FL, USA",RAN WG1,SBFD and UE-to-UE CLI Measurement
RAN1_118,"Maastricht, NL",RAN WG1,Ambient IoT Device Architectures
RAN1_119,"Orlando, US",RAN WG1,NR NTN Phase 3 enhancements
RAN1_118b,"Hefei, China",RAN1,Physical layer protocol discussion
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,3GPP Release 19 Physical Layer Enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR NTN Enhancements for FR1
RAN1_118b,"Hefei, China",RAN WG1,Physical layer design for Ambient IoT
RAN1_116,"Athens, Greece",RAN WG1,UL Capacity Enhancement for IoT NTN
RAN1_118b,"Hefei, China",RAN WG1,NR-NTN Phase 3 Core Specifications
RAN1_118b,"Hefei, China",RAN WG1,Measurements related enhancements for Layer 1/Layer 2 Mobility
RAN WG1 #119,"Orlando, US",RAN WG1,Maintenance on Rel-18 work items
RAN1_116b,"Athens, Greece",RAN WG4,NTN RRM Requirements
RAN1_116,"Athens, Greece",RAN WG1,NR-NTN Enhancement Features
RAN1_119,"Orlando, US",RAN WG1,Frame structure and timing aspects for Ambient IoT
RAN1_116b,"Changsha, China",RAN WG1,Rel-19 Work Item Discussion
RAN1_118b,"Hefei, China",TSG-RAN,Release 17 Maintenance
RAN1_118,"Maastricht, Netherlands",RAN1,NR Physical Layer Specifications
RAN1_118b,"Hefei, China",RAN WG1,NR-NTN enhancements for RedCap devices
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Multi-Carrier UL Enhancements
RAN1_118,"Maastricht, NL",RAN WG1,LTM measurements related enhancements
RAN1_118b,"Hefei, China",RAN WG1,NCD-SSB Configuration for RedCap
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,LP-WUS enhancements for Rel-19
RAN1_118b,"Hefei, China",RAN WG1,UE procedures for transform precoding on PUSCH
RAN1_119,"Orlando, US",RAN WG1,NR HARQ-ACK codebook enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,XR enhancements during RRM measurements
RAN1_119,"Orlando, US",RAN WG1,On-demand SSB for Network Energy Saving
RAN1_118,"Maastricht, NL",RAN WG1,Uplink Transmission Procedures
RAN1_117,"Fukuoka, Japan",RAN WG1,5G NR Sidelink enhancements
RAN1_116,"Athens, Greece",RAN WG1,NR Coverage Enhancement in Rel-18
RAN1_116b,"Changsha, Hunan province, China",RAN WG1,NR Physical Layer Enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Channel Model Enhancements for 7-24 GHz
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Ambient IoT Standardization
RAN1_118,"Maastricht, NL",RAN WG1,Physical layer design aspects for Ambient IoT devices
RAN1_118,"Maastricht, NL",RAN WG1,On-demand SSB SCell operation for NES
RAN1_118,"Maastricht, NL",RAN WG1,Radio layer 1 specifications
RAN1_119,"Orlando, USA",TSG-RAN WG1,NR Physical Layer Specifications
RAN1_118,"Maastricht, Netherlands",RAN WG1,Maintenance of NR Positioning
RAN1_118,"Maastricht, NL",RAN WG1,Positioning accuracy enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Discussion on asymmetric DL sTRP/UL mTRP scenarios
RAN1_118,"Maastricht, Netherlands",RAN WG1,Expanded and Improved NR Positioning
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Rel-19 NR AI/ML Enhancements
RAN1_118b,"Hefei, China",RAN WG1,XR enhancements for NR Phase 3
RAN1_118,"Maastricht, NL",RAN WG1,Physical layer standardization for NR
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,On-demand SIB1 for idle/inactive mode UEs
RAN1_119,"Orlando, US",RAN WG1,Channel modeling enhancements for 7-24 GHz
RAN1_116b,"Changsha, China",RAN WG1,Sidelink Enhancements for Rel-18
RAN1_117,"Fukuoka City, Fukuoka, JP",RAN WG1,Ambient IoT Frame Structure
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,AI/ML-based CSI prediction
RAN1_116b,"Changsha, China",RAN WG1,Rel-19 CSI Enhancements
RAN1_116,"Athens, Greece",RAN WG1,SBFD TX/RX/measurement procedures
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Maintenance
RAN1_118,"Maastricht, The Netherlands",RAN WG1,NR Physical Layer Enhancements
RAN1_116,"Chicago, US",RAN WG4,Radio performance aspects
RAN1_118,"Maastricht, NL",RAN WG1,NR MIMO Evolution Discussion
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR positioning enhancements in Rel-18
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Multiplexing HARQ-ACK in PUSCH with repetitions for Rel-18
RAN1_116,"Athens, Greece",RAN WG1,9.2.3: Support for 3TX CB-based Uplink
RAN1_117,"Fukuoka City, Japan",RAN WG1,Support of RedCap and eRedCap UEs in NR NTN
RAN1_118b,"Beijing, Hong Kong",RAN WG1,NR Mobility Enhancements Phase 4
RAN1_118,"Maastricht, Netherlands",RAN WG1,On-demand SSB for energy-efficient SCell operation
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,SL-U Physical Channel Design Framework
RAN1_117,"Fukuoka, Japan",RAN WG1,UE Features for Other Topics B
RAN1_116b,"Changsha, China",RAN WG1,On-demand SSB for SCell Energy Saving
RAN1_116,,RAN WG1,Sidelink Measurement Configuration
RAN1_118b,"Hefei, China",RAN WG1,Ambient IoT Evaluation and Standardization
RAN1_118,"Maastricht, Netherlands",RAN WG1,Physical layer specifications
RAN1_116b,"Changsha, China",TSG-RAN WG1,ISAC Channel Modeling
RAN1_118,Netherlands,RAN WG1,Rel-18 Editorial Corrections for NR_MBS_enh-Core
RAN1_118,"Maastricht, NL",RAN WG1,AIoT Evaluation Assumptions and Results
RAN1_119,"Orlando, FL, USA",RAN WG1,SBFD Tx/Rx/measurement procedures
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,UL Skipping and TBoMS Interaction
RAN1_118b,"Hefei, China",RAN WG1,NR Pre-Rel18 Maintenance (SRS Power Scaling)
RAN1_118,"Maastricht, NL",RAN WG1,Adaptation of common signal/channel transmissions for Network Energy Savings
RAN1_117,"Fukuoka, Japan",RAN WG1,MIMO Enhancements for Rel-19
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,A-IoT physical channel and signal design
RAN1_118,"Maastricht, NL",RAN WG1,NR Network Energy Saving Enhancements
RAN1_118b,"Hefei, China",RAN WG1,Waveform characteristics for Ambient IoT carrier waves
RAN1_118b,"Hefei, China",TSG-RAN WG1,Specification corrections for NR multi-TRP and MIMO enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer specifications and enhancements
RAN1_116b,"Athens, Greece",RAN2,RRC Protocol Aspects
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Coverage Enhancements (NR_cov_enh2)
RAN1_119,"Orlando, US",RAN WG1,NR-NTN Coverage Enhancement
RAN1_118b,"Hefei, China",RAN WG1,On-demand SIB1 transmission for idle/inactive mode UEs
RAN1_116b,,RAN WG1,UE Behavior Clarifications in DRX
RAN1#118bis,"Hybrid (Online/3F Meeting Rooms, Breakout #2 on 2F)",RAN WG1,5G NR Standardization
RAN1_118b,"Hefei, China",RAN WG1,LTM Measurement Enhancements
RAN1_116,"Athens, Greece",RAN WG1,IoT NTN Enhancements
RAN1_119,"Orlando, US",RAN WG1,Rel-19 7-24GHz Channel Model Enhancements
RAN1_118b,"Hefei, China",RAN1,NR Physical Layer Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,Agenda Item 5: Discussion of LS On UE Capability for Asymmetric BW for less than 5 MHz
RAN1_119,"Orlando, USA",RAN WG1,Techniques for NES (Network Energy Savings) and on-demand SIB1
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 SL Enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,CLI Handling for NR Rel-19 SBFD
RAN1_117,"Fukuoka, Japan",RAN,NR-NTN Standardization
RAN1_116,"Athens, Greece",RAN WG1,Rel-19 IoT NTN Work Plan
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 Work Item Features
RAN1_118,"Maastricht, Netherlands",RAN WG1,Physical Layer Design for Ambient IoT
RAN1_118b,"Hefei, China",RAN WG1,Physical layer specifications for 5G-NR and beyond
RAN1_119,"Orlando, US",RAN WG1,NR NTN Enhancements for HD UEs
RAN1_118,"Maastricht, NL",RAN WG1,AI/ML for Air Interface
RAN1#118bis,3F (Breakout #2 on 2F),RAN WG1,3GPP RAN1 Meeting Agenda Items
RAN1_119,"Orlando, USA",RAN WG1,Physical layer specifications
RAN1_118b,"Hefei, China",RAN WG1,AI/ML for Air Interface Enhancements
RAN1_116b,"Changsha, China",RAN WG1,LP-WUS Procedures
RAN1_119,"Orlando, US",RAN WG1,Rel-19 NR MIMO Phase 5 standardization
RAN1_118b,"Hefei, China",RAN WG1,On-demand SSB for NES in SCell operation
RAN1_116,"Athens, Greece",RAN WG1,Rel-18 MIMO Evolution Maintenance
RAN1_118,"Maastricht, Netherlands",RAN WG1,LP-WUS procedures in Connected mode
RAN1_116,"Athens, Greece",RAN WG1,CSI enhancements for MIMO
RAN1_119,"Orlando, US",RAN WG1,On-demand SIB1 procedures
RAN1_118b,"Hefei, China",RAN WG1,Physical layer protocol development
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Frame structure and timing aspects
RAN1_116b,"Changsha, Hunan province, China",RAN WG1,NR MIMO Phase 5 Enhancements
RAN1_116b,"Athens, Greece",RAN WG4,NR FR1 Spectrum Enhancements
RAN1_118b,"Hefei, China",RAN WG1,Rel-17 NR specifications maintenance
RAN1_119,"Orlando, USA",RAN WG1,Rel-19 AI/ML Enhancements
RAN1_116,"Athens, Greece",RAN WG1,AI/ML in management
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Agenda Item 5: SLPP Agreements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,CG RACH-less Handover Parameter Analysis
RAN1_117,"Fukuoka City, Japan",RAN WG1,IoT-NTN Uplink Enhancements
RAN1_116,"Chicago, USA",RAN2,NR NTN Enhancement Core Protocols
RAN1_119,"Orlando, US",RAN WG1,IoT NTN Uplink Enhancements
RAN1_116,"Athens, Greece",RAN WG1,Release 19 Work Item Discussion
RAN1_116b,"Changsha, China",TSG-RAN WG1,Physical layer specifications
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,on-demand SSB SCell operation
RAN1_116,"Athens, Greece",RAN WG1,Ambient IoT in NR
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,3GPP Radio Access Network Specifications
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR Physical Layer Standardization
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-19 Ambient IoT Physical Layer Design
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR-NTN Enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Maintenance on Rel-18 work items - MBS
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR Physical Layer Procedures
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,9.5.3: Adaptation of common signal/channel transmissions
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Evolution of NR duplex operation
RAN1_119,"Orlando, US",RAN WG1,Correction of parameter name for early UL sync in TS 38.213
RAN1_118b,"Hefei, China",RAN WG1,NR Positioning Enhancements
RAN1_117,"Fukuoka City, Japan",TSG-RAN WG1,Physical layer protocol maintenance
RAN1_119,"Orlando, US",RAN WG1,Enhancement to support on-demand SIB1 for idle/inactive mode UE
RAN1_116,"Athens, Greece",RAN WG1,Physical layer design for Ambient IoT devices
RAN1_119,"Orlando, US",RAN WG1,NR-NTN Downlink Coverage Enhancements
RAN1_119,"Orlando, United States",RAN WG1,AI/ML-based CSI Compression
RAN1_118b,"Hefei, China",RAN WG1,UE-initiated beam management
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,AI/ML Beam Management
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR NTN Phase 3 Core Specifications
RAN1_118b,"Hefei, China",RAN WG1,NR physical layer enhancements for reduced energy consumption
RAN1_116b,"Athens, Greece",RAN WG2,Radio Interface Protocols
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Multi-carrier UL enhancements
RAN1_118b,"Hefei, China",RAN WG1,Physical Layer Enhancements for NR
RAN1_116,"Athens, Greece",RAN WG1,9.7.2: Channel modelling for integrated sensing and communication with NR
RAN1_118,"Maastricht, NL",RAN WG1,Network Energy Savings for NR
RAN1_116,"Athens, Greece",RAN WG1,Maintenance on Rel-18 CSI enhancements
RAN1_119,"Orlando, US",RAN WG1,Physical Layer Standardization
RAN1_117,"Fukuoka, Japan",RAN WG1,AI 9.5.3: Adaptation of common signalling for NES
RAN1_116b,"Changsha, Hunan Province, China",TSG-RAN WG1,NR Multi-carrier Enhancements
RAN1_117,"Fukuoka, Japan",TSG-RAN WG1,AI/ML for NR Positioning Enhancements
RAN1_116,"Athens, Greece",RAN WG1,Agenda Item 9.2.3: 3-antenna-port codebook-based transmissions
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,SBFD random access operation
RAN1_117,"Fukuoka, Japan",RAN WG1,AI/ML-based beam management
RAN1_119,"Orlando, US",RAN WG1,On-demand SIB1 in Idle/Inactive Mode
RAN1_116,"Athens, Greece",RAN WG1,Ambient IoT Physical Layer Aspects
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Specification support for positioning accuracy enhancement
RAN1_119,"Orlando, USA",RAN WG1,Ambient IoT Channel/Signal Aspects
RAN1_116,"Athens, Greece",RAN WG1,AI/ML based beam management
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,3-antenna-port UL codebook-based uplink transmission
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Ambient IoT Physical Layer Design
RAN1_118b,"Hefei, China",RAN WG1,ML-based Positioning Enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR RedCap and Small Data Transmission Enhancements
RAN1_116b,"Changsha, China",TSG-RAN WG1,Frame structure and timing aspects of Ambient IoT
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,5G NR Physical Layer Specifications
RAN1_118b,"Hefei, China",RAN WG1,9.5.3 - Network Energy Savings Enhancements
RAN1_116b,"Changsha, China",RAN WG1,Uplink Capacity/Throughput Enhancement for FR1-NTN
RAN1_119,"Orlando, US",RAN WG1,SSB configuration for SCell operations
RAN1_118b,"Hefei, China",RAN WG1,Study on channel modelling for Integrated Sensing And Communication (ISAC) for NR
RAN1_118,"Maastricht, NL",RAN WG1,NR Duplex Evolution - SBFD Random Access
RAN1_119,"Orlando, FL, USA",RAN WG1,Physical layer protocol development
RAN1#119,,RAN WG1,"Agenda items 1-5, 7-24GHz, R19 features, AI/ML, XR, NTN, Duplex, and mobility"
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR MIMO Enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,Physical Layer Specifications
RAN1_119,"Orlando, USA",RAN WG1,NR Rel-19 Network Energy Savings Enhancements
RAN1_116,"Athens, Greece",RAN WG1,NTN and RedCap operation in FR1
RAN1_116b,"Changsha, China",RAN WG1,NR Physical Layer Development
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,NR Physical Layer Enhancements
RAN1_118b,"Maastricht, Netherlands",RAN3,Early TA acquisition for inter-DU mobility
RAN1_116,"Athens, Greece",RAN WG1,Resource Allocation for SL PRS
RAN1_118,"Maastricht, NL",RAN WG1,XR Enhancements
RAN1_118,"Maastricht, The Netherlands",RAN1,Physical layer specifications
RAN1_118b,"Hefei, China",RAN WG1,Enhancements of network energy savings for NR
RAN1_119,"Orlando, USA",RAN WG1,18-22 November 2024 meeting agenda items
RAN1_117,"Fukuoka, Japan",RAN WG1,Physical layer aspects of NR evolution
RAN1_118b,"Hefei, China",RAN WG1,Channel Modeling Enhancements
RAN1_118b,"Hefei, China",RAN WG1,Support of RedCap/eRedCap UEs in NTN
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR RedCap enhancements and corrections
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Physical layer aspects of NR sidelink
RAN1_118,"Maastricht, NL",RAN WG1,NR MIMO Evolution Rel-19 Enhancements
RAN1_116b,"April 15th – 19th, 2024",RAN WG1,asymmetric DL/UL mTRP operation
RAN1_118,"Maastricht, The Netherlands",RAN WG1,NR-NTN uplink enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,NR Rel-18 MIMO Enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,Frame structure and timing aspects for Ambient IoT
RAN1_118,"Maastricht, NL",RAN WG1,Rel-19 UE/Event-Driven Beam Management
RAN1_116b,"Changsha, China",RAN WG1,LP-WUS operation in IDLE/INACTIVE mode
RAN1_119,"Orlando, US",RAN WG1,Enhancements for asymmetric DL/UL scenarios
RAN1_116b,"Changsha, China, 15–19 April 2024",RAN WG1,Radio Layer 1 Maintenance
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Enhancements for UE-initiated/event-driven beam management
RAN1_119,"Orlando, FL, USA",RAN WG1,Physical layer protocol specification maintenance
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,AI/ML for NR Positioning Enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR-NTN Enhancement Discussions
RAN1_116,"Athens, Greece",RAN WG1,NR NTN Enhancements
RAN1_116b,"Changsha, China",RAN WG1,9.4.2.2 - Frame structure and timing aspects for Ambient IoT
RAN1_116b,"Changsha, China",RAN WG1,Channel model enhancements for FR3
RAN1_119,"Orlando, US",RAN WG1,Physical layer specifications discussion
RAN1_118,"Maastricht, NL",RAN WG1,Physical Layer Aspects of Ambient IoT
RAN1_116b,"Changsha, China",RAN WG1,NR FeMIMO Enhancements (Pre-Rel-18)
RAN1_118,"Maastricht, NL",RAN WG1,9.4.2.4 - Ambient IoT Waveform Characteristics
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR Sidelink Evolution
RAN1_119,"Orlando, USA",RAN WG1,Physical Layer Specifications
RAN1_117,"Fukuoka City, Japan",RAN WG1,AI/ML for NR Air Interface
RAN1_118,"Maastricht, the Netherlands",RAN WG1,ISAC Deployment Scenarios
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Channel model enhancements for 7-24 GHz
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,SL Channel Access Procedure Corrections
RAN1_118b,"Hefei, China",RAN WG1,AI/ML for NR Physical Layer Enhancements
RAN1_118b,"Hefei, China",RAN WG1,Ambient IoT channel/signal aspects
RAN1_116,"Athens, Greece",RAN WG1,9.6.1 - LP-WUS and LP-SS design
RAN1_119,"Orlando, US",RAN WG1,PRACH configuration updates for LTM
RAN1_116,"Athens, Greece",RAN WG1,NR Physical Layer Specifications
RAN1_116,"Athens, Greece",RAN1,NR Radio Access
RAN1_119,"Orlando, US",RAN WG1,NR NTN DL Coverage Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,AI/ML for CSI Prediction Enhancements
RAN1_117,"Fukuoka, Japan",RAN WG1,Physical layer procedures
RAN1_117,"Fukuoka, Japan",RAN WG1,NR Physical Layer Enhancements
RAN1_116b,"Changsha, China",RAN WG1,Maintenance of NR specifications
RAN1_118,"Maastricht, NL",RAN WG1,Synchronization source change in SL positioning
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,FR3 Channel Modeling
RAN1#119,,RAN WG1,RAN1#119 Session Planning
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,Physical Layer Standardization for 5G-Advanced
RAN1_119,"Orlando, FL, USA",RAN WG1,Enhancements of network energy savings for NR
RAN1_116,"Athens, Greece",RAN WG1,NR Sidelink evolution
RAN1_118b,"Hefei, China",RAN WG1,Unified TCI Framework Enhancements
RAN1_119,"Orlando, USA",RAN WG1,Frame structure and timing aspects for Ambient IoT
RAN1_116,,RAN,NR Positioning Enhancements
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,CSI enhancements for Rel-19
RAN1_116b,"Changsha, China",RAN WG1,CLI handling for SBFD
RAN1_118b,"Hefei, China",RAN WG1,5G-Advanced Physical Layer Enhancements
RAN1_119,"Orlando, FL, USA",RAN WG1,Channel Modeling Enhancements
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,NR ATG UE Features
RAN1_118,"Maastricht, Netherlands",TSG-RAN WG1,NR NTN Enhancements
RAN1_118,"Maastricht, NL",RAN WG1,Frame structure and timing aspects
RAN1_118,"Maastricht, NL",RAN WG1,Physical layer standardization
RAN1_119,"Orlando, USA",RAN WG1,LP-WUS Operation in Connected Mode
RAN1_118,"Maastricht, NL",RAN WG1,General aspects of physical layer design
RAN1_118b,"Hefei, China",RAN WG1,Adaptation of Common Signals
RAN1_118,"Maastricht, NL",RAN WG1,UL Capacity Enhancement for IoT NTN
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR Evolution for Release 18/19
RAN1_117,"Fukuoka, Japan",RAN WG1,Ambient IoT device architectures
RAN1_116b,"Maastricht, NL",TSG RAN,Rel-19 Work Item Approvals
RAN1_116b,"Changsha, China",RAN WG1,Rel-19 NR MIMO Enhancements
RAN1_116,"Athens, Greece",RAN WG1,NR-NTN downlink coverage enhancement
RAN1_119,"Orlando, USA",RAN WG1,Downlink coverage enhancements for NR NTN
RAN1_116b,,RAN WG1,Sidelink enhancements
RAN1_116,"Athens, Greece",RAN WG1,Resource Allocation for SL-PRS
RAN1_116,"Athens, Greece",RAN WG1,Physical layer standardization for NR and LTE
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,AI/ML based Positioning
RAN1_116b,"Changsha, China",RAN WG1,Physical layer protocol maintenance and enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,SRS Frequency Hopping for RedCap Positioning
RAN1_117,"Fukuoka, Japan",RAN WG1,Evolution of NR Duplex Operation
RAN1_118,"Maastricht, NL",RAN WG1,9.5.2 - Network Energy Savings
RAN1_118,"Maastricht, NL",RAN WG1,Rel-19 Ambient IoT Physical Layer Design
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-18 Sidelink Maintenance
RAN1_116b,"Changsha, Hunan Province, China",RAN WG1,On-demand SIB1 transmission mechanisms
RAN1_116,"Athens, Greece",RAN WG1,Further enhancements on MIMO
RAN1_119,"Orlando, USA",RAN WG1,Channel modeling enhancements for 7-24 GHz
RAN1_117,,RAN WG1,3GPP TSG-RAN WG1 Meeting
RAN1_117,"Fukuoka, Japan",RAN WG1,Maintenance of SD-PD adaptation for R18 NES
RAN1_116b,"Changsha, China",RAN WG1,Rel-18 sidelink evolution
RAN1_118b,"Hefei, China",RAN WG1,NR-NTN Phase 3 Enhancements
RAN1_118,"Maastricht, Netherlands",RAN WG1,NR-NTN Phase 3 Work Item Discussion
RAN1_118b,"Hefei, China",TSG-RAN WG1,Channel model adaptation for 7–24 GHz
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR duplex operation enhancements
RAN1_119,"Orlando, US",RAN WG1,Rel-18 NR UE Features
RAN1_116,"Athens, Greece",RAN WG1,NR Duplex Evolution Work Item Discussion
RAN1_118,"Maastricht, NL",RAN WG1,5G NR Evolution
RAN1_116b,"Athens, Greece",RAN WG2,NR mobility enhancements
RAN1_116b,"Changsha, China",RAN WG1,Cell DTX/DRX specification maintenance
RAN1_118,"Maastricht, NL",RAN WG1,A-IoT Physical Layer Design
RAN1_116,"Athens, Greece",RAN WG1,9.5.3 - Adaptation of common signal/channel transmissions
RAN1_117,"Fukuoka, Japan",RAN WG1,NR physical layer specifications
RAN1_117,"Fukuoka, Japan",RAN WG1,Downlink and uplink channels/signals for Ambient IoT
RAN1_117,"Fukuoka City, Fukuoka, Japan",RAN WG1,SSB to CG-SDT PUSCH Mapping
